Имя,Full name,Home Reality,Occupation,Identity,Status,Date of Birth,Age,Species,Gender,Skin Color,Eye color,Hair color,Height,Appeared in,Alias(es),Base of operations,Alt. versions,Marital Status,Affiliation(s),Nationality,Relatives,Power,Speed,Precision,Endurance
C. Salas,,Earth-1610,Security GuardHead of Security,,Alive,,,Human,Male,,Hazel,Brown,,Spider-Man: Into the Spider-Verse,,"Brooklyn, New York",,,Brooklyn Visions Academy,,,4,3,2,2
Calleros,Calleros (First Name Unknown),Earth-1610,Teacher,No Dual,Alive,,,Human,Female,,Hazel,Brown,,Spider-Man: Into the Spider-Verse*Spider-Man: Across the Spider-Verse (cameo),,New York City,,,Brooklyn Visions Academy,,,5,4,4,1
Chance the Rapper,Chancelor Johnathan Bennett,Earth-1610,Rapper,No-Dual,Alive,"April 16, 1993",30,Human,Male,Black,Brown,Black,1.78 m,Spider-Man: Into the Spider-Verse (mentioned),Chance the Rapper,,,Married,,American,,3,4,3,3
Infobox character,,,,,,,,,,,,,,,,,,,,,,1,4,3,4
Character Hubs,,,,,,,,,,,,,,,,,,,,,,2,1,1,3
Mrs. Chen,,Earth-688,,,Alive,,,Human,Female,,,,,Spider-Man: Across the Spider-Verse,,,,Single,Mrs. Chen's Store,,,4,1,3,2
Cindy Moon (Earth-1610),Cindy Moon,Earth-1610,,,,,,,Female,,,,,"Spider-Man: Into the Spider-Verse (name only, appeared on a screen)",,,,,Miles Morales,,,3,1,3,4
Clam,Clam,Clam's reality,Supervillain,Secret,Alive,,,Human,Female,,,,,Spider-Man: Across the Spider-Verse,CodenamesClam,,Clam,Single,,,,3,4,5,3
Anya Corazon,Aña Sofia Corazón,,,,,,,,,,,,,,,,,,,,,2,3,4,3
Cyber Billygoat,,Earth-8311,,,Alive,,,Goat,,,,,,Spider-Ham: Caught in a Ham,,,,,,,,2,1,5,4
Dan Rubinstein,Dan Rubinstein,Earth-1610,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Into the Spider-Verse (photo),Codenames Fancy Dan,,Fancy Dan,Single,,,,3,2,3,3
Aaron Davis,Aaron Davis,Earth-1610,Assassin,Secret,Deceased,1970s,41,Human,Male,Black,Brown,"N/A (bald, formerly black)",,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-Verse (flashback and hologram),CodenamesProwler[1]DerivativesAaron[1],"Brooklyn, New York City",Aaron Davis (Earth-42)Aaron Davis (Earth-199999),Single,Kingpin,American,Jefferson Morales (older brother)Rio Morales (sister-in-law)Miles Morales (nephew)Maria Morales (sister-in-law),1,2,1,4
Aaron Davis,Aaron Davis,Earth-199999,Supervillain,Secret,Alive,"April 15, 1984",39,Human,Male,Black,Black,Brown,178 cm (5’10”),Spider-Man: Across the Spider-Verse,Codenames  ProwlerBrian Pinchelli,New York City,Prowler,Single,Adrian Toomes' Crew,American,Miles Morales (nephew),1,2,1,3
Aaron Davis,Aaron Davis,Earth-42,,No Dual,Alive,1970s,42,Human,Male,Black,Brown,"N/A (bald, formerly black)",,Spider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesProwler,"Brooklyn, New York City",Aaron Davis (Earth-1610)Aaron Davis (Earth-199999),Single,,American,Jefferson Morales † (brother)Miles Morales (nephew)Rio Morales (sister-in-law),4,5,3,1
Deceased characters,,,,,,,,,,,,,,,,,,,,,,1,4,2,4
Delilah,,,,,,,,,Female,,,,,Spider-Man: Across the Spider-Verse  (Deleted scene),,,,,,,,3,2,5,1
Antoine Delsoin (Earth-Unknown),Antoine Delsoine,Hypno Hustler's Reality,Supervillain,Secret,Alive,,,Human,Male,Brown,,Black,,Spider-Man: Across the Spider-Verse,Codenames Hypno Hustler,,Hypno-Hustler,Single,,,,3,4,3,5
Maxwell Dillon,Maxwell Dillon,Earth-42,"Supervillain, CEO of ELECTROnics",Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Electro,,,Single,Sinister Six,American,,5,2,1,1
Doctor Octopus,,,,,,,,,,,,,,,,,,,,,,3,3,1,3
Doppelganger,,Doppelganger's Home Reality,Superhero,Secret,Alive,,,Manifestation/Spider-Person,Male,,White,No Hair,,Spider-Man: Across the Spider-Verse,,,Peter Parker (genetic template)Spider-Clones (fellow clones),,Spider-Society,,Peter Parker (genetic template),1,4,5,2
Dr. Crawdaddy,,Earth-8311,Scientist,,Alive,,,Crustacean,Male,,,,,Spider-Ham: Caught in a Ham,,,,,,,,4,2,4,1
Jessica Drew,Jessica Drew,Earth-332,SuperheroSpider-Society Employee,Public,Alive,,,Human (enhanced),Female,Black,,Black,,Spider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (unreleased)Spider-Woman (unreleased),CodenamesSpider-Woman,,Jessica DrewSpider-Woman,Married,Spider-SocietyMiguel O'Hara,American,Gerry (Son; unborn),5,1,3,1
Archibald Dyker,Archibald Dyker,Diamondhead's reality,Supervillain,,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesDiamondhead,,Diamondhead,Single,,,,1,4,3,1
Eddie Brock,Edward Brock Jr.,Earth-1610,,,,,,,Male,,,,,Spider-Man: Into the Spider-Verse (mentioned),,,,,,,Venom (symbiote),4,5,4,2
Eddie Brock,Edward Charles Allan Brock,Earth-616,,,Alive,,,Human,Male,,,,,Spider-Man: Into the Spider-Verse (deleted scene),CodenamesVenom,,Eddie Brock,,Venom,,Venom,1,1,5,2
Liz Allan,Elizabeth Allan,Earth-616,,No Dual,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (photo),,,,Married,,American,,5,1,5,1
Wilson Fisk,Wilson Fisk,Earth-138,Businessman,,,,,Human,Male,,Hazel,N/A (bald),,Spider-Man: Across the Spider-Verse,Kingpin,,,,,,,3,5,1,5
Flash Thompson,Eugene Thompson,Earth-616,,No Dual,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse(hologram),,,Flash Thompson,Single,,American,,5,1,4,2
Flash Thompson,Eugen Thompson,Earth-78127,,,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,,,Flash ThompsonSpider-People,Single,,,,3,1,5,2
Flint Marko,Flint Marko,Earth-42,"Supervillain, CEO of Sandman",Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Sandman,,,Single,Sinister Six,American,,5,2,2,2
Francis Byte,Francis Byte,Earth-8107,"Supervillain, formerly superhero",Secret,Alive,,,Human,Male,,Red,Black,,Spider-Man: Across the Spider-Verse,Codenames  Videoman  Organizational Names  Video game guys (with Norman Osborn and Spider-Man),,,Dating,,,,2,2,3,4
Frankfurter Porker,Frankfurter Porker,Earth-8311,,No Dual,Deceased,,,Pig,Male,,,,,Spider-Man: Into the Spider-Verse  (indirectly mentioned),,,Ben Parker,,,,Peter Porker (adoptive nephew),1,4,1,1
Frederick Foswell (Earth-Unknown),Frederick Foswell,Unknown,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesBig Man,,Big Man,Single,,,,1,4,4,5
Future Foundation Spider-Woman,,Future Foundation Spider-Woman's reality,Superhero,Secret,Alive,,,Human,Female,,,,,Spider-Man: Across the Spider-Verse,Codenames Spider-Woman  Future Foundation Spider-Woman,,Spider-PersonSpider-WomanJessica Drew,Single,,,,2,4,1,2
Gabriella O'Hara,Gabriella O'Hara,Unidentified Universes,StudentSoccer Player,No Dual,Deceased,,,Human,Female,Swarthy,Brown,Brown,,Spider-Man: Across the Spider-Verse,,,,Single,,American Mexican Irish,Miguel O'Hara (biological father)Miguel O'Hara (alternate reality father/adoptive father),3,2,5,4
Ganke Lee,,Earth-1610,Student,No-Dual,Alive,,,Human,Male,,Brown,Black,170 cm,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-Verse,,"Brooklyn, New York City",,,Spider-Man,,,1,4,5,3
MacDonald Gargan,MacDonald Gargan,Earth-42,"Supervillain, CEO of Scorpo",Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Scorpion,,Scorpion,Single,Sinister Six,American,,2,1,2,3
George Stacy,,,,,,,,,,,,,,,,,,,,,,1,2,3,2
George Stacy,,Earth-26496,Police Captain,No-Dual,Deceased,,,Human,Male,White,,,,Spider-Man: Across the Spider-Verse,Captain Stacy,,George Stacy,,,American,,4,4,4,5
Gloria Morales,,Earth-1610,,,,,,Human,Female,,,,,"Spider-Man: Into the Spider-Verse (name only, appeared on a screen)",,,,,,Puerto Rican,Rio Morales (daughter)Maria Morales (daughter)Miles Morales (grandson)Jefferson Morales (son-in-law),3,1,1,5
Gog,Gog,Earth-1610,Supervillain,,Alive,,,Tsiln,Male,,,,,The Spider Within: A Spider-Verse Story,,,,Single,,,,4,4,3,1
Gog,Unknown,Earth-42,Supervillain,,Alive,,,Tslin,Male,,,,,Spider-Man: Across the Spider-Verse (Mentioned only),Gog,,Gog,Single,Gog (Corporation),American,,3,3,5,2
Gog,Gog,Gog's reality,Supervillain,,Alive,,,Tslin,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesGog,,Gog,Single,,,,2,4,3,3
Gog 2 (Earth-Unknown),Gog,Gog's reality,Supervillain,,Alive,,,Tslin,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesGog,,Gog,Single,,,,3,3,1,1
Goose Cannon,,Earth-8311,,,Alive,,,Goose,,,,,,Spider-Ham: Caught in a Ham,,,,,,,,3,4,3,5
Gordon Thomas,Gordon Thomas,Typeface's Reality,Supervillain,Secret,Alive,,,Human,Male,,Brown,Brown,,Spider-Man: Across the Spider-Verse,Codenames Typeface,,Typeface,Single,,,,2,5,5,1
Glory Grant,Gloriana Grant,Earth-65,MusicianStudent,No Dual,Alive,2000s,15-16,Human,Female,,,,173 cm,Spider-Man: Across the Spider-Verse,Glory Grant,"New York City, New York",,,Mary Janes,American,,3,4,3,3
Gwen Stacy,,,,,,,,,,,,,,,,,,,,,,1,2,4,5
Henry McCoy (Earth-1610),Hank Mboy,Earth-1610,,,,,,,Male,,,,,"Spider-Man: Into the Spider-Verse (name only, appeared on a screen)",,,,,Miles Morales,,,5,2,3,4
Herman Schultz (Earth-1610),Herman Schultz,Earth-1610,,Secret,Alive,,,,,,,,,Spider-Man: Into the Spider-Verse (photo),Shocker,,,,,,,2,3,4,4
Herman Schultz (Earth-42),Herman Schultz,Earth-42,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,,,Shocker,Single,,,,5,2,3,2
Herman Schultz (Earth-Unknown),Herman Schultz,Unknown,Supervillain,,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesShocker,,Shocker,Single,,,,2,1,5,1
Brian Hibbs,Brian Hibbs,Kangaroo's reality,Supervillain,,Alive,,,Human,,,,,,Spider-Man: Across the Spider-Verse,Kangaroo,,Kangaroo,,,,,2,5,2,5
Hobgoblin,Unknown (likely an Indian variation of Roderick Kingsley),Earth-50101,Supervillain,Secret,Alive,,,Human (Mutated),Male,Green,Yellow,Brown,,Spider-Man: Across the Spider-Verse,Codenames  HobgoblinHobgoblin India,,,Single,,Indian,,4,5,2,2
Hubert Carpenter,Hubert Carpenter,Unknown,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesWalrus,,Walrus,Single,,,,4,1,4,1
Hubert Carpenter,Hubert Carpenter,Earth-138,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Walrus,,Walrus,Single,,,,3,3,4,3
J. Jonah Jameson,John Jonah Jameson,Earth-13122,,,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,,,J. Jonah Jameson,Single,,,,5,1,2,5
J. Jonah Jameson,John Jonah Jameson Jr.,Earth-42,,,,,,,,,,,,,,,J. Jonah Jameson,,,,,2,1,5,1
J. Jonah Jameson,John Jonah Jameson,Earth-616,Editor-in-chief,No Dual,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (photo),DerivativesJ. Jonah Jameson,"New York City, New York",J. Jonah Jameson,Single,The Daily Bugle,American,,3,5,5,5
J. Jonah Jameson,John Jonah Jameson,Earth-65,,,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,,,J. Jonah Jameson,Single,,,,1,4,3,1
J. Jonah Jameson,John Jonah Jameson,Earth-67,,No Dual,Alive,,,Human,Male,,Brown,Graying,,Spider-Man: Into the Spider-Verse,DerivativesJ. Jonah Jameson,New York,J. Jonah Jameson,,The Daily Bugle,,,2,5,4,3
Jackson Brice,Jackson Brice,Enforcers's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Montana,,Montana,Single,,,,1,5,5,5
Jackson Weele,Jackson Weele,Big Wheel's Reality,Supervillain,Secret,Alive,,,Sentient Vehicle,,,,,,Spider-Man: Across the Spider-Verse,Codenames Big Wheel,,,,,,,3,2,1,4
Jalome Beacher,Jalome Beacher,Earth-42,"Supervillain, CEO of LcSlyde",Secret,Alive,,,Human,,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Slyde,,,Single,,American,,4,1,3,3
Jalome Beacher (Earth-Unknown),Jalome Beacher,Slyde's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Slyde,,Slyde,Single,,,,3,5,3,1
James Blake,James Blake Litherland,Earth-1610,Singer,No-Dual,Alive,26 September 1988,30,Human,Male,White,Green,Brown,,Spider-Man: Across the Spider-Verse (mentioned),,,,,,,,1,1,2,5
Jefferson Davis,,,,,,,,,,,,,,,,,,,,,,2,2,4,3
Abner Jenkins,Abner Jenkins,Earth-1610,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Beetle,,Beetle,Single,,,,5,1,5,1
Abner Jenkins (Earth-Unknown),Janice Lincoln,Lady Beetle's Reality,Supervillain,Secret,Alive,,,Human,Male,,Unknown,Unknown,,Spider-Man: Across the Spider-Verse,Codenames Lady Beetle,,,Single,,,,3,5,5,4
Jessica Drew,,,,,,,,,,,,,,,,,,,,,,2,1,3,4
Jessica Drew,Jessica Drew,Earth-1610,,,,,,,Female,,,,,"Spider-Man: Into the Spider-Verse (name only, appeared on a screen)",,,Jessica Drew,,Miles Morales,,,4,2,4,1
Joseph (Earth-1610),Joseph (last name unrevealed),Earth-1610,,,Arrested (presumed),,,,Male,,,,,Spider-Man: Into the Spider-Verse (photo)Spider-Man: Across the Spider-Verse,Hammerhead,,,,,,,4,4,4,4
Joseph,Joseph,Earth-42,"Supervillain, CEO of Hammerhead Corp",Secret,Alive,,,Human,,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Hammerhead,,,Single,,American,,4,1,4,3
Joseph,Joseph (last name possibly Martello),Earth-616,,Secret,Alive,,,,Male,,,,,Spider-Man: Into the Spider-Verse (photo),Hammerhead,,,,,,,2,5,2,4
Joseph (Earth-Unknown),Joseph,Hammerhead's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesHammerhead,,Hammerhead,Single,,,,3,2,5,2
Joseph Robertson,Joseph Robertson,Earth-616,,No Dual,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (photo),,,,,,American,,2,5,4,4
User:Jstewart2007,You don't need to know that,This one,Lifeguard,,Alive,Summer 2007,,Human,Male,White,Brown,Brown,6'0,,DC Universe Fanboy,,,Single (lucky you!),,American (Scottish/British Descent),,2,5,2,2
Julia Carpenter,Julia Carpenter,,Superhero,Secret,Alive,,,Human,Female,,,,,Spider-Man: Across the Spider-Verse,CodenamesSpider-Woman,,Spider-Woman,,Spider-Society,American Brazilian,,5,1,1,5
Margo Kess,Margo Kess,Earth-22191,Cyber VigilanteStudentSpider-Society Employee (formerly),Secret,Alive,2004,15-16 [1],Human,Female,Black,Brown,Brown,170 cm,Spider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),Spider-Byte,,Spider-People,Single,Spider-GangSpider-Society (formerly)Spider-Army (formerly),American,Unnamed parents,5,5,3,3
Ned Leeds,Edward Leeds,Earth-65,Student,No-Dual,Alive,,,Human,Male,,Brown,Blonde (dyed),,Spider-Man: Across the Spider-Verse,,"Chelsea, New York City, New York",,Single,,American,,3,1,5,5
Leopardon,,Earth-51778,,,,,,Sentient robotic suit,,,,,60 m,Spider-Man: Into the Spider-Verse (drawing)The Spider Within: A Spider-Verse Story (drawing)Spider-Man: Beyond the Spider-Verse (unreleased),,Japan,,,Takuya Yamashiro,,,5,4,5,5
List of Minor Characters,,,,,,,,,,,,,,,,,,,,,,4,5,3,4
Otto Octavius,Otto Gunther Octavius,Doc Ock's Reality,Supervillain,Secret,Alive,,,Human,Male,White,,Brown,,Spider-Man: Across the Spider-Verse,"Codenames  Doctor Octopus, Doc Ock",,Doctor Octopus,Single,,,,5,5,1,4
Lonnie Lincoln,Alonzo Lincoln,Earth-1610,BodyguardEnforcer,,Alive (In custody),,,Human mutate,Male,,Brown,White,,Spider-Man: Into the Spider-Verse,Tombstone,,Tombstone,,Kingpin,,,4,5,2,4
Lonnie Lincoln,Lonnie Thompson Lincoln,Earth-616,,,Alive,,,Human mutate,Male,,Brown,White,,Spider-Man: Into the Spider-Verse  (Flashback),Tombstone,,Tombstone,,,,,3,3,3,5
LYLA,LYrate Lifeform Approximation,Earth-928,,,Extant,,,Artificial Intelligence,Female,White,Brown,Brown,,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse,DerivativeLYLA,Nueva York,,Single,Miguel O'Hara,,,2,3,2,3
Mac Gargan,MacDonald Gargan,Earth-616,,,Alive,,,,Male,,,,,Spider-Man: Into the Spider-Verse (flashback),Mac GarganCodenamesScorpion,,Scorpion,,,,,2,2,2,3
Majestic Cariboom,,Earth-8311,,,Alive,,,Caribou,,,,,,Spider-Ham: Caught in a Ham,,,,,,,,5,3,2,2
Maria Morales,Maria Morales,Earth-1610,,No Dual,Alive,,39,Human,Female,,Brown,Brown,,Spider-Man: Across the Spider-Verse,,"Brooklyn, New York City",Maria Morales,,,Puerto Rican American,Rio Morales (older sister)Miles Morales (nephew)Jefferson Morales (brother-in-law)Gloria Morales (mother),4,2,1,1
Mariachi Spider-Man,,Mariachi Spider-Man's Reality,Superhero,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesSpider-Man  Mariachi Spider-Man,,Spider-People,Single,Spider-Society,,,1,3,1,3
Mariachi Spider-Man 2,,Mariachi Spider-Man's Reality,Superhero,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesSpider-Man  Mariachi Spider-Man,,Spider-People,Single,Spider-Society,,,1,4,2,4
Mariachi Spider-Man 3,,Mariachi Spider-Man's Reality,Superhero,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesSpider-Man  Mariachi Spider-Man,,Spider-Person,Single,Spider-Society,,,1,2,4,2
Mary Jane,,,,,,,,,,,,,,,,,,,,,,2,3,5,4
Mary Jane Parker,Mary Jane Parker (legal name)Mary Jane Watson (birth name),Earth-1610,,,Alive,December 1991,26,Human,Female,White,Blue,Red,,Spider-Man: Into the Spider-Verse,MJ,New York City,Mary Jane,Widowed,,,"Ben Parker (uncle-in-law, deceased)May Parker (aunt-in-law)",2,4,1,5
Mary Jane Watson-Parker,Mary Jane Watson-Parker,Earth-18119,Superhero,Secret,Alive,,,Spider-Person,Female,,,Red,,Spider-Man: Across the Spider-Verse,Codenames  Spinneret,,Mary JaneSpider-People,Married,Spider-Society,,Anna-May Parker (daughter),4,3,4,5
Matthew Murdock,Matthew Murdock,Unknown Reality,,,Alive,,,Human,Male,Pale,,,,Spider-Man: Into the Spider-Verse,Matthew Murdock,,,,,,Wilson Fisk (father)Sister Maggie (mother),5,1,4,4
Maximus Gargan (Earth-1610),Maximums Gargan,Earth-1610,,,Alive,,,Human (mutated and cybernetically-enhanced),Male,,,,,Spider-Man: Into the Spider-Verse,,New York City,Maximus Gargan,,Kingpin,,,1,1,5,3
Maxwell Markham,Maxwell Markham,Earth-1610,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Grizzly,,,Single,,,,4,4,2,1
Maxwell Markham,Maxwell Markham,Earth-42,"Supervillain, CEO of Griz",Secret,Alive,,,Human,,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Grizzly,,,Single,,American,,4,5,4,4
Maxwell Markham (Earth-Unknown),Maxwell Markham,Unknown,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesGrizzly,,Grizzly,Single,,,,5,5,4,3
May Parker,,,,,,,,,,,,,,,,,,,,,,4,1,4,2
Mayday Parker,May Parker,Earth-616,,Secret,Alive (anomaly for existing due to Miles Morales the original anomaly himself),"August, 10, 2022",Eight Months Old[1],Mutant,Female,White,Blue,Red,,Spider-Man: Across the Spider-Verse,AnarchistMaydayMay Parker IIMagical Child,,,,Spider-Society (visitor and anomaly)Spider-Gang,,Peter Parker (father)Mary Jane Watson (mother)Ben Parker † (paternal great-uncle)May Parker † (paternal great-aunt)Spencer Watson (maternal great-uncle)Anna Watson (maternal great-aunt),5,1,2,4
Mayday Parker,May Parker,Earth-982,Superhero,Secret,Alive,,,Human,Female,,,,,Spider-Man: Across the Spider-Verse,Codenames  Spider-GirlSpider-Woman,,Mayday ParkerSpider-People,Single,Spider-Society,American,Peter Parker (father)Mary Jane Parker (mother)Benjy Parker (brother),3,5,2,2
May Porker,May Porker,,,,,,,,,,,,,Spider-Man: Into the Spider-Verse,,,,,,,,5,2,1,3
May Parker,Maybelle Parker,Earth-1610,,No Dual,Alive,,,Human,Female,,Blue,Gray,,Spider-Man: Into the Spider-VerseSpider-Man: Across the Spider-Verse (flashback),Aunt MaySpider-Man's Aunt,"FloridaQueens, New York (formerly)",May Parker,Widowed,Spider-ManSpider-Gang,,Peter Parker † (nephew)Mary Jane Parker  (niece-in-law),1,5,1,3
May Parker,Maybelle Parker (married name)Maybelle Reilly (maiden name),Earth-616,,,Deceased,,,Human,Female,,Brown,Grey,,Spider-Man: Into the Spider-Verse (mentioned) Spider-Man: Across the Spider-Verse (photo),Aunt May,New York City,May Parker,,,,Peter Parker (nephew)Mary Jane Watson (niece-in-law),1,3,4,3
May Reilly,Maybelle Reilly,,,,,,,,,,,,,Spider-Man: Across the Spider-Verse,,,May Parker,,,,,5,2,2,3
